tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0964587	movie	St. Trinian's	St. Trinian's	0	2007.0	\N	101	Comedy,Family	5.8	23080
tt0968264	movie	The Conspirator	The Conspirator	0	2010.0	\N	122	Crime,Drama,History	6.9	29360
tt0970179	movie	Hugo	Hugo	0	2011.0	\N	126	Adventure,Drama,Family	7.5	327981
tt0970411	movie	City of Ember	City of Ember	0	2008.0	\N	90	Adventure,Drama,Family	6.4	67584
tt0970416	movie	The Day the Earth Stood Still	The Day the Earth Stood Still	0	2008.0	\N	104	Adventure,Drama,Sci-Fi	5.5	173624
tt0970452	movie	Solomon Kane	Solomon Kane	0	2009.0	\N	104	Action,Adventure,Fantasy	6.1	74737
tt0970468	movie	Miss Pettigrew Lives for a Day	Miss Pettigrew Lives for a Day	0	2008.0	\N	92	Comedy,Romance	7.0	29062
tt0970866	movie	Little Fockers	Little Fockers	0	2010.0	\N	98	Comedy,Romance	5.5	115371
tt0971209	movie	A Perfect Getaway	A Perfect Getaway	0	2009.0	\N	98	Drama,Mystery,Thriller	6.5	74370
tt0972883	movie	Red	Red	0	2008.0	\N	93	Drama,Thriller	7.0	11443
tt0974014	movie	Creation	Creation	0	2009.0	\N	108	Biography,Drama,Romance	6.6	14756
tt0974015	movie	Justice League	Justice League	0	2017.0	\N	120	Action,Adventure,Fantasy	6.1	461383
tt0974554	movie	Elegy	Elegy	0	2008.0	\N	112	Drama,Romance	6.7	22864
tt0974613	movie	The Other Man	The Other Man	0	2008.0	\N	88	Drama,Mystery,Thriller	5.4	12174
tt0974661	movie	17 Again	17 Again	0	2009.0	\N	102	Comedy,Drama,Fantasy	6.4	207055
tt0975645	movie	Hitchcock	Hitchcock	0	2012.0	\N	98	Biography,Drama,Romance	6.8	77305
tt0976051	movie	The Reader	The Reader	0	2008.0	\N	124	Drama,Romance	7.6	250911
tt0976060	movie	Tokyo!	Tokyo!	0	2008.0	\N	112	Comedy,Drama,Fantasy	7.0	11361
tt0976222	movie	Bandslam	Bandslam	0	2009.0	\N	111	Comedy,Drama,Family	6.3	14894
tt0976238	movie	Old Dogs	Old Dogs	0	2009.0	\N	88	Comedy,Family	5.3	38710
tt0977855	movie	Fair Game	Fair Game	0	2010.0	\N	108	Biography,Drama,Thriller	6.8	50065
tt0978759	movie	Frozen River	Frozen River	0	2008.0	\N	97	Crime,Drama	7.1	26043
tt0978762	movie	Mary and Max	Mary and Max.	0	2009.0	\N	92	Animation,Comedy,Drama	8.1	180244
tt0978764	movie	Sucker Punch	Sucker Punch	0	2011.0	\N	110	Action,Adventure,Fantasy	6.0	246197
tt0979434	movie	Lottery Ticket	Lottery Ticket	0	2010.0	\N	99	Comedy	5.0	11295
tt0980970	movie	The Chronicles of Narnia: The Voyage of the Dawn Treader	The Chronicles of Narnia: The Voyage of the Dawn Treader	0	2010.0	\N	113	Adventure,Family,Fantasy	6.3	158943
tt0981072	movie	The Lucky Ones	The Lucky Ones	0	2007.0	\N	115	Adventure,Comedy,Drama	6.9	14248
tt0981227	movie	Nick and Norah's Infinite Playlist	Nick and Norah's Infinite Playlist	0	2008.0	\N	90	Comedy,Drama,Music	6.6	93826
tt0983193	movie	The Adventures of Tintin	The Adventures of Tintin	0	2011.0	\N	107	Action,Adventure,Animation	7.3	235814
tt0983213	movie	5 Centimeters per Second	Byôsoku 5 senchimêtoru	0	2007.0	\N	63	Animation,Drama,Family	7.5	60268
tt0983946	movie	Fantasy Island	Fantasy Island	0	2020.0	\N	109	Fantasy,Horror,Mystery	4.9	54653
tt0985694	movie	Machete	Machete	0	2010.0	\N	105	Action,Crime,Thriller	6.6	200172
tt0985699	movie	Valkyrie	Valkyrie	0	2008.0	\N	121	Drama,History,Thriller	7.1	249891
tt0986233	movie	Hunger	Hunger	0	2008.0	\N	96	Biography,Crime,Drama	7.5	71711
tt0986263	movie	Surrogates	Surrogates	0	2009.0	\N	89	Action,Sci-Fi,Thriller	6.3	177412
tt0986264	movie	Like Stars on Earth	Taare Zameen Par	0	2007.0	\N	165	Drama,Family	8.3	197225
tt0988045	movie	Sherlock Holmes	Sherlock Holmes	0	2009.0	\N	128	Action,Adventure,Mystery	7.6	646192
tt0988047	movie	Traitor	Traitor	0	2008.0	\N	114	Action,Crime,Drama	6.9	58385
